22.54	35	48	56.3	65	59.33	58	58.67	30.71	44.25	57.06	68.56	79.17	92.14	101	116.22
22.5	33.43	52.08	63.2	72	68.4	58.67	59.33	41	40.85	61.69	72	81.2	93.62	106	116.4
28.91	44	58.5	63.67	69	60.33	57.67	58	39	46	65.91	76.3	84.43	94.38	99	112.14
30.5	45	52.7	59.43	72.75	62.33	58	58.33	39.67	50.67	67.18	78.22	87.25	96.73	104.13	111.63
31.2	37	58.64	65.13	70.8	67.67	55.5	75.25	39.9	51.67	68.14	76.18	83.38	94.5	102.17	112.86
34.62	47	60.08	69.33	75.43	68.67	68.33	74.33	41.67	56.17	68.25	78.4	85.82	96.27	106	115
36.93	39.4	62.4	70.31	75	77	62.5	76.33	46.08	48.6	71.69	79.5	87.22	96.33	108.83	114.11
36.8	51.78	67.24	75.06	79	74.2	70	76.33	47.6	61.17	75.17	82.45	86.33	95.43	107	115.33
47.64	55.56	70.94	79.08	82.89	77.71	71	76	58.6	66.33	79.42	85	90.1	98.5	112	118.86
53.41	55.67	77	85.5	87	84.63	72	76.5	68.07	68.8	84.79	90.67	95.45	100.73	110.33	118.89
57.86	56.33	77.77	82.5	86.33	87.11	81.33	111.67	77.83	75.86	92.08	92.2	95.86	102.55	112.33	119.57
56.63	71.13	86	94.91	93.33	92.29	89.75	91	81	85	95.19	99.08	102.86	109.9	115.5	120.71
75.14	75.6	90.06	99.42	97.57	98.17	93	88	95.43	92.38	104.63	108.92	107.88	112.9	116.5	123.67
63.61	74.33	82.5	91.3	90.67	96.5	91	87	86.81	95.89	101.31	101.36	104.6	114.38	117.67	125.11
59.68	64.83	82.43	90.93	92.1	92.44	92.33	91.8	76.4	90.17	95.5	100.82	104.54	113	118.88	125.45
55.11	59.5	80.05	86.92	89.71	90.29	85	89	71.25	80.25	94.22	101.6	105.4	111.53	114.71	122.22
44.17	53.33	76.06	81	85.71	85.17	80.5	83.25	69.83	65.06	88.44	93.5	101.64	109.07	112.43	120.3
52.6	63.85	75.5	82.08	85.43	83.17	77.5	81.75	67.07	72.33	87.64	92.93	97.71	108.92	111.2	121
57.32	69.46	80.8	87.6	92.1	85.57	90.67	80	69.89	79.5	93.1	97.15	103.18	108.46	115.86	121.22
61.79	68.43	82.22	89.55	94.44	88.71	97.5	79.67	75.12	79.83	93.93	100.54	104.4	109.86	119	122.5
74.42	65.33	86.79	94.17	98.11	94.13	92	84.33	83.93	84.67	97.75	104.17	107.09	110.08	117.78	124.7
55.8	76	84	95	97	88	89.8	82.6	100	98.25	104.5	109.67	112.11	111.9	115.17	125.64
69.85	75.67	87.09	91	93.5	87.5	83	80.25	93	96.5	101.55	103.29	108	113.75	114.23	123.71
78.35	85.46	92.25	98.83	98	91	78.33	82.8	100.63	104	105.67	111.09	114.33	114	117	125.25
80.76	87.75	93.82	99.62	96.13	91.29	76.67	84.25	98.41	105	107.64	110.3	112.33	116.91	118	125.63
77.64	87.5	92.92	99.4	98.4	95.57	78.5	87.67	97.87	101.83	107.54	112.3	115.9	119.9	119.8	126.67
64.63	81	92.07	98	97.45	89.3	87.33	96.2	101.33	98.71	108.94	111.8	115.5	118.17	119	126.54
76.5	86.63	95.08	99.08	99.88	100.75	90.67	101.25	94.2	101.44	108.29	111.92	114.56	120	119.71	128.22
78.59	89.3	96.65	101.15	102.3	102.44	107	113.33	94.5	100.45	107.93	112.31	114.67	118.25	125.43	129.5
81.15	91.6	101.07	103.3	103	106.33	103	113.33	97.85	103.4	111.86	114.45	116.71	119.85	118	126.2
81.23	89.67	100.53	105.73	105.14	102.86	107.67	107	100.15	105.67	111.57	114.7	117	123.36	124.8	130.56
97.2	102.42	101.47	100.33	110.5	107.43	109	105.5	89.25	104.9	113.73	116.67	120.33	124.5	127	131.67
102.38	109.91	113.56	116.64	115.89	112.11	111.25	113.83	130.18	128.83	129.63	128.67	127.63	132.92	130	137.9
110.13	114.42	121.13	120.45	118	116.6	118.2	118.29	146.8	140.6	148.29	140.11	137	147.7	155.4	150.7
108.85	126.13	124.3	124.63	125.17	126.43	122.5	123.75	144.8	148.14	145.8	150	157	155.56	151.4	150.83
97.2	112.17	118.86	123.13	122.67	115.71	123.6	120	124.07	136.17	140.69	145.14	147.6	151.67	160.57	162.78
85.78	105.18	116.42	123.56	132.17	119.5	110.75	112	114.44	122.08	138.64	141.78	156.29	154.91	160	164.91
79	97.75	109.64	115.33	122.83	117.11	109.6	112.86	101.93	114.92	134	137.73	146.63	152.42	157.67	164.09
85.25	98.77	111.19	119.73	123.9	119.5	106	108.67	104.93	116.64	129.87	138.09	143.5	150.92	159.25	166.63
86.47	99.13	113.76	118.9	123.63	124	106.5	120	106.21	116.57	129.38	135.18	142.4	149	154.17	162.8
97.4	102.71	116.76	125	126.6	125.85	115.5	122.43	115.33	121.86	133.65	140.29	146	151.94	155.75	162.18
94.38	103.71	121.17	126.62	128.56	125.82	118	118.86	119	121.53	136.19	139.92	146.2	152.93	158.57	165.73
97.4	108.36	121.73	128.4	131.57	126.11	109.67	119.67	117.07	125	135.75	136.75	143.14	153.83	160.43	164.18
100.53	114.44	126	132.54	130.7	126.33	119.33	117.71	118.67	131.46	137.33	145.3	143.44	156.82	158.75	164.9
